date,area_name,cases_7d,pred
2021-06-17,East Midlands,451.57142857142856,89.38538095526475
2021-06-18,East Midlands,481.1428571428572,88.10032524203437
2021-06-19,East Midlands,496.1428571428572,110.26279605612744
2021-06-20,East Midlands,518.2857142857143,117.82008548209747
2021-06-21,East Midlands,557.4285714285714,89.88640065126712
2021-06-22,East Midlands,598.8571428571429,89.21392896348057
2021-06-23,East Midlands,646.8571428571429,88.346832173387
2021-06-24,East Midlands,696.1428571428571,86.02781450323234
2021-06-25,East Midlands,751.1428571428571,85.65289625707935
2021-06-26,East Midlands,820.4285714285714,107.4487888734747
2021-06-27,East Midlands,898.4285714285714,113.0430934648449
2021-06-28,East Midlands,1014.8571428571428,84.97965805893197
2021-06-29,East Midlands,1124.571428571429,83.70781954808277
2021-06-30,East Midlands,1224.7142857142858,83.95388845738557
2021-07-01,East Midlands,1343.2857142857142,82.13779952276273
2021-07-02,East Midlands,1437.2857142857142,82.23913201308076
2021-07-03,East Midlands,1517.2857142857142,101.97716904491905
2021-07-04,East Midlands,1609.142857142857,106.52836708274805
2021-07-05,East Midlands,1715.2857142857142,81.7654593487053
2021-07-06,East Midlands,1828.857142857143,80.7298014184124
2021-07-07,East Midlands,1960.2857142857144,79.49469066706142
2021-07-08,East Midlands,2046.2857142857144,77.79027330262973
2021-07-09,East Midlands,2139.285714285714,77.68327847917352
2021-07-10,East Midlands,2217.1428571428573,97.26992573663092
2021-07-11,East Midlands,2287.714285714286,105.36854512009388
2021-07-12,East Midlands,2441.285714285714,70.97999512036039
2021-07-13,East Midlands,2596.285714285714,72.38313630057688
2021-07-14,East Midlands,2814.714285714286,71.29852759534313
2021-07-15,East Midlands,3131.428571428572,68.8874968708213
2021-07-16,East Midlands,3405.5714285714284,67.71663944831229
2021-07-17,East Midlands,3533.8571428571427,87.52949336702294
2021-07-18,East Midlands,3614.428571428572,94.02473815568239
2021-07-19,East Midlands,3656.714285714286,65.57747827053973
2021-07-20,East Midlands,3570.1428571428573,63.436541283445735
2021-07-21,East Midlands,3366.428571428572,62.19746680716471
2021-07-22,East Midlands,3045.0,59.661687930513025
2021-07-23,East Midlands,2731.8571428571427,57.43920118840404
2021-07-24,East Midlands,2558.1428571428573,80.25403547675018
2021-07-25,East Midlands,2413.0,86.26030938951108
2021-07-26,East Midlands,2223.428571428572,55.24075137499315
2021-07-27,East Midlands,2160.5714285714284,53.331548921977586
2021-07-28,East Midlands,2162.0,51.96810596268635
2021-07-29,East Midlands,2179.0,49.38384027030907
2021-07-30,East Midlands,2196.1428571428573,47.46117409834089
2021-07-31,East Midlands,2217.8571428571427,70.00599957910877
2021-08-01,East Midlands,2226.714285714286,73.46992636375509
2021-08-02,East Midlands,2250.8571428571427,46.04389540502549
2021-08-03,East Midlands,2281.714285714286,44.69502013570703
2021-08-04,East Midlands,2313.428571428572,43.670921837590846
2021-08-05,East Midlands,2364.0,41.45113596410038
2021-08-06,East Midlands,2412.0,40.271268128018285
2021-08-07,East Midlands,2421.428571428572,58.612848525579395
2021-08-08,East Midlands,2448.1428571428573,61.69653850272709
2021-08-09,East Midlands,2482.285714285714,39.84074840736364
2021-08-10,East Midlands,2478.8571428571427,38.80045352084667
2021-08-11,East Midlands,2460.5714285714284,37.471933792552605
2021-08-12,East Midlands,2464.285714285714,35.8548166518541
2021-08-13,East Midlands,2443.714285714286,34.73899867989492
2021-08-14,East Midlands,2471.5714285714284,50.41568863471549
2021-08-15,East Midlands,2494.714285714286,53.49722383011681
2021-08-16,East Midlands,2532.8571428571427,34.14551939398878
2021-08-17,East Midlands,2555.714285714286,32.80753028222043
2021-08-18,East Midlands,2577.5714285714284,32.84951936223641
2021-08-19,East Midlands,2555.5714285714284,31.33239943728785
2021-08-20,East Midlands,2567.428571428572,30.463208008229984
2021-08-21,East Midlands,2599.8571428571427,42.842112015854646
2021-08-22,East Midlands,2627.8571428571427,46.16290091191026
2021-08-23,East Midlands,2632.285714285714,30.46335654459271
2021-08-24,East Midlands,2626.1428571428573,29.32285517947343
2021-08-25,East Midlands,2618.5714285714284,28.845839390622793
2021-08-26,East Midlands,2621.8571428571427,27.605295982180326
2021-08-27,East Midlands,2627.714285714286,26.828300684362084
2021-08-28,East Midlands,2564.0,37.842570419918395
2021-08-29,East Midlands,2506.8571428571427,40.15483271990904
2021-08-30,East Midlands,2419.714285714286,11.831826950062421
2021-08-31,East Midlands,2498.285714285714,25.144257852640646
2021-09-01,East Midlands,2529.428571428572,25.571443085554268
2021-09-02,East Midlands,2558.1428571428573,25.446109641447055
2021-09-03,East Midlands,2600.1428571428573,25.706319746632477
2021-09-04,East Midlands,2659.714285714286,33.622507444995485
2021-09-05,East Midlands,2728.714285714286,36.10205629090158
2021-09-06,East Midlands,2871.285714285714,26.353844681782792
2021-09-07,East Midlands,2824.0,26.05911545907604
2021-09-08,East Midlands,2773.285714285714,25.915468749164294
2021-09-09,East Midlands,2734.0,25.193424379985327
2021-09-10,East Midlands,2650.1428571428573,25.340697184632784
2021-09-11,East Midlands,2571.8571428571427,32.3375278853864
2021-09-12,East Midlands,2528.714285714286,34.088720279836366
2021-09-13,East Midlands,2438.285714285714,25.535341024660905
2021-09-14,East Midlands,2368.285714285714,24.555000103717283
2021-09-15,East Midlands,2331.714285714286,24.616351556676367
2021-09-16,East Midlands,2310.8571428571427,23.676294362177707
2021-09-17,East Midlands,2338.428571428572,23.31784618329973
2021-09-18,East Midlands,2405.5714285714284,29.964352997616388
2021-09-19,East Midlands,2510.1428571428573,31.043982928191323
2021-09-20,East Midlands,2652.285714285714,23.551283741099496
2021-09-21,East Midlands,2830.714285714286,23.42327393337494
2021-09-22,East Midlands,2973.428571428572,23.81895147681483
2021-09-23,East Midlands,3086.8571428571427,23.18500469976578
2021-09-24,East Midlands,3173.1428571428573,23.003259142571768
2021-09-25,East Midlands,3219.714285714286,28.343255292465333
2021-09-26,East Midlands,3191.1428571428573,30.078502576204404
2021-09-27,East Midlands,3197.428571428572,22.796607076484865
2021-09-28,East Midlands,3172.1428571428573,22.342840885263204
2021-09-29,East Midlands,3154.1428571428573,21.96515386983906
2021-09-30,East Midlands,3137.5714285714284,21.35248322923558
2021-10-01,East Midlands,3130.428571428572,21.246877874556525
2021-10-02,East Midlands,3115.428571428572,25.9411450349324
2021-10-03,East Midlands,3191.5714285714284,27.9273324328514
2021-10-04,East Midlands,3223.714285714286,21.396753603415508
2021-10-05,East Midlands,3246.5714285714284,20.83412835503954
2021-10-06,East Midlands,3302.428571428572,20.835136792777963
2021-10-07,East Midlands,3364.0,20.4806615668068
2021-10-08,East Midlands,3428.1428571428573,20.391774245776745
2021-10-09,East Midlands,3504.285714285714,25.397759859823815
2021-10-10,East Midlands,3524.285714285714,26.341383825197195
2021-10-11,East Midlands,3596.714285714286,20.610123242317957
2021-10-12,East Midlands,3638.571428571429,20.238606516022674
2021-10-13,East Midlands,3669.285714285714,20.2216539898287
2021-10-14,East Midlands,3687.571428571429,19.796850036418007
2021-10-15,East Midlands,3663.142857142857,19.458569758375223
2021-10-16,East Midlands,3604.714285714286,23.797765815594328
2021-10-17,East Midlands,3572.285714285714,24.739670601774424
2021-10-18,East Midlands,3484.0,17.752078674257987
2021-10-19,East Midlands,3423.428571428572,17.29516657846886
2021-10-20,East Midlands,3382.0,16.94130184624749
2021-10-21,East Midlands,3322.714285714286,16.549262644767147
2021-10-22,East Midlands,3279.8571428571427,15.976944273734
2021-10-23,East Midlands,3314.428571428572,21.128345286680638
2021-10-24,East Midlands,3271.0,22.157870077217872
2021-10-25,East Midlands,3240.714285714286,15.27940800040514
2021-10-26,East Midlands,3172.0,15.064120155959287
2021-10-27,East Midlands,3094.5714285714284,14.718845513782147
2021-10-28,East Midlands,3054.1428571428573,14.138054282787294
2021-10-29,East Midlands,3045.1428571428573,13.809059388012933
2021-10-30,East Midlands,2972.714285714286,18.68834687521086
2021-10-31,East Midlands,2920.5714285714284,19.66790528704719
2021-11-01,East Midlands,2846.285714285714,15.620546375208944
2021-11-02,East Midlands,2782.1428571428573,15.743344962087775
2021-11-03,East Midlands,2708.5714285714284,15.564452389926277
2021-11-04,East Midlands,2635.1428571428573,15.174968856356527
2021-11-05,East Midlands,2555.285714285714,14.959185824472343
2021-11-06,East Midlands,2522.0,18.211107708875428
2021-11-07,East Midlands,2520.714285714286,19.290660870319783
2021-11-08,East Midlands,2545.8571428571427,15.422295087967063
2021-11-09,East Midlands,2651.8571428571427,15.294654740523484
2021-11-10,East Midlands,2758.5714285714284,15.15284162820303
2021-11-11,East Midlands,2847.5714285714284,14.948264823153714
2021-11-12,East Midlands,2948.1428571428573,14.766535238602323
2021-11-13,East Midlands,2995.714285714286,17.915986277807864
2021-11-14,East Midlands,3033.714285714286,18.97554432967308
2021-11-15,East Midlands,3077.714285714286,14.99632242552619
2021-11-16,East Midlands,3106.0,14.936244105553286
2021-11-17,East Midlands,3123.8571428571427,14.915105445770559
2021-11-18,East Midlands,3158.0,14.639950159588624
2021-11-19,East Midlands,3165.8571428571427,14.467416357600985
2021-11-20,East Midlands,3192.8571428571427,17.323565035145837
2021-11-21,East Midlands,3212.8571428571427,18.329764650551734
2021-11-22,East Midlands,3224.428571428572,14.631065859056243
2021-11-23,East Midlands,3230.428571428572,14.620187452954346
2021-11-24,East Midlands,3238.1428571428573,14.472935946286091
2021-11-25,East Midlands,3224.0,14.197319436329112
2021-11-26,East Midlands,3204.0,13.869392132270507
2021-11-27,East Midlands,3184.8571428571427,16.792210474133448
2021-11-28,East Midlands,3194.428571428572,17.984627320982252
2021-11-29,East Midlands,3228.428571428572,13.857507150825564
2021-11-30,East Midlands,3288.1428571428573,14.266471308726073
2021-12-01,East Midlands,3379.0,14.046543315311714
2021-12-02,East Midlands,3480.8571428571427,13.821855500592173
2021-12-03,East Midlands,3561.0,13.635071718906739
2021-12-04,East Midlands,3639.285714285714,16.628933793833717
2021-12-05,East Midlands,3670.428571428572,17.7569985750666
2021-12-06,East Midlands,3698.142857142857,13.775285603351326
2021-12-07,East Midlands,3679.0,13.986750263957711
2021-12-08,East Midlands,3673.571428571429,13.986435698821582
2021-12-09,East Midlands,3675.428571428572,13.897862543686179
2021-12-10,East Midlands,3694.0,13.752277407778498
2021-12-11,East Midlands,3739.857142857143,17.095584156509695
2021-12-12,East Midlands,3795.428571428572,18.20185135202502
2021-12-13,East Midlands,3970.428571428572,13.834913910096958
2021-12-14,East Midlands,4290.571428571428,13.669761481076439
2021-12-15,East Midlands,4742.142857142857,13.593535443235286
2021-12-16,East Midlands,5123.142857142857,13.23769973536246
2021-12-17,East Midlands,5453.428571428572,13.031077499703633
2021-12-18,East Midlands,5745.428571428572,16.594085674272954
2021-12-19,East Midlands,6049.142857142857,18.24534231604794
2021-12-20,East Midlands,6456.714285714285,11.46151132051394
2021-12-21,East Midlands,6965.571428571428,10.886948816465976
2021-12-22,East Midlands,7421.428571428572,10.006535282864059
