date,obs_sum,uncoupled,coupled
2021-08-27,25801.14285714286,1144.4228859706222,506.98413416418543
2021-08-28,25456.857142857145,1677.8414874650043,751.3673731174895
2021-08-29,24994.285714285714,1812.74742875384,812.8653166132951
2021-08-30,24231.57142857143,531.5757052043315,235.18052300030644
2021-08-31,25007.0,1089.908344036765,477.69812097858204
2021-09-01,25541.428571428572,1112.2141512214614,490.0192309502517
2021-09-02,26135.428571428572,1121.2633115132535,492.16587327991795
2021-09-03,26774.857142857145,1129.8409842799454,495.18974409797363
2021-09-04,27241.57142857143,1549.209125549091,677.3273488896764
2021-09-05,27859.857142857145,1690.4877775200616,736.8410774687734
2021-09-06,29027.0,1208.8906931309134,519.9562751675346
2021-09-07,28226.285714285714,1212.163524585971,518.063099180437
2021-09-08,27382.57142857143,1215.2090417805566,515.404516220842
2021-09-09,26506.428571428572,1208.9674301753903,510.31171122927435
2021-09-10,25412.71428571429,1223.7925164083495,512.7429449027507
2021-09-11,24499.14285714286,1578.8173096220526,669.1655086068772
2021-09-12,23703.14285714286,1692.761749767145,714.4350339361661
2021-09-13,22571.57142857143,1262.279143755392,521.9376149815025
2021-09-14,21812.571428571428,1237.122158910874,508.66094990476404
2021-09-15,21353.285714285717,1239.8503606607367,508.0179914828619
2021-09-16,21048.714285714286,1209.2837936539,493.5775134554299
2021-09-17,21242.42857142857,1202.4238495637342,487.66897880421425
2021-09-18,21809.0,1545.5236981817955,636.0733217731417
2021-09-19,22793.85714285714,1652.3127727473052,676.0570120224072
2021-09-20,23788.142857142855,1247.1347633205899,499.78601107548553
2021-09-21,24920.0,1247.2812790922862,497.9754127247352
2021-09-22,25829.0,1274.442666350205,506.34117931509877
2021-09-23,26691.714285714286,1261.8471104634286,498.6003327743597
2021-09-24,27176.000000000004,1259.9219494123229,494.2386805217793
2021-09-25,27531.428571428576,1582.0622615335812,630.0712323674437
2021-09-26,27825.57142857143,1697.723869680342,671.5795608848786
2021-09-27,28179.57142857143,1287.8815956018689,499.7295605122953
2021-09-28,28047.571428571428,1276.7905163714868,491.8870550817612
2021-09-29,28031.285714285717,1268.7828034637678,486.08457376719355
2021-09-30,27815.857142857145,1251.6599411707118,477.9471901067519
2021-10-01,27584.428571428572,1260.6773622784206,477.14220720023644
2021-10-02,27357.71428571429,1542.388912251468,594.3098615416055
2021-10-03,27398.0,1679.5873790618684,644.9888084848266
2021-10-04,27661.999999999996,1295.864850834941,485.6717106680623
2021-10-05,28037.428571428572,1273.9689184776946,474.6377692269044
2021-10-06,28589.000000000004,1292.588369470449,480.10829970684784
2021-10-07,29351.0,1286.4457404150921,475.7499966981303
2021-10-08,30165.285714285717,1289.8245319776315,473.23230000580736
2021-10-09,30923.000000000004,1617.1460610490722,601.30506182049
2021-10-10,31545.571428571428,1717.7819896441354,636.4044194884458
2021-10-11,32485.857142857145,1342.2230162992023,486.4387469616544
2021-10-12,33711.857142857145,1337.8100980228942,482.72382836018164
2021-10-13,34849.28571428572,1338.6556282884699,479.9272251003024
2021-10-14,35852.0,1335.8212246299584,477.3839322024098
2021-10-15,36809.28571428571,1337.0725544632073,474.23865845295256
2021-10-16,37438.71428571428,1649.6883557876567,592.0919943680915
2021-10-17,38284.0,1745.4963857642801,624.4910114698041
2021-10-18,39157.14285714285,1356.8379535944898,474.0410188646621
2021-10-19,39679.0,1350.5617451184125,468.446091731113
2021-10-20,40156.142857142855,1346.1274499665362,464.3044334768988
2021-10-21,40052.28571428571,1340.598809584449,461.6376479408369
2021-10-22,39751.857142857145,1312.6991262231127,448.131200699762
2021-10-23,39485.71428571428,1641.0631169125695,572.1036477670103
2021-10-24,38436.71428571429,1727.121381214318,599.9856734168527
2021-10-25,37114.57142857143,1157.5232986104625,393.3114589268896
2021-10-26,35794.28571428572,1137.888991745986,385.1347531055948
2021-10-27,34740.857142857145,1109.8707580451041,374.06311121696893
2021-10-28,34251.57142857143,1080.2261920021267,362.1780210125272
2021-10-29,34187.28571428572,1059.9842580609306,352.77956479129165
2021-10-30,33976.57142857143,1481.5714196869042,501.30765492435484
2021-10-31,33904.71428571429,1571.93079954795,530.8492947816093
2021-11-01,33581.71428571429,1254.2715530683895,411.7049989917267
2021-11-02,33017.42857142857,1285.8505998886606,420.2854788423219
2021-11-03,32006.28571428572,1281.048241960214,416.41913281532203
2021-11-04,30912.571428571428,1280.4575738609192,413.3575944930048
2021-11-05,29544.000000000004,1279.6101919157443,409.6204133679814
2021-11-06,28739.285714285717,1544.9969010936948,503.06048327211266
2021-11-07,28155.428571428572,1632.3456391555592,531.7601153231351
2021-11-08,27937.571428571428,1326.8715905064005,421.5740591357003
2021-11-09,28418.42857142857,1338.1347798565619,421.95784152360545
2021-11-10,29272.428571428572,1333.5903453215283,418.87868809982996
2021-11-11,30170.714285714283,1334.1146506923537,416.7993859835835
2021-11-12,31150.57142857143,1323.8736760459497,410.398331710541
2021-11-13,31831.85714285714,1605.3352476103023,506.8095840178117
2021-11-14,32420.428571428572,1707.3907154737824,535.4810257083811
2021-11-15,33325.85714285714,1375.225360637393,422.17117072026366
