date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2021-10-17,38512.42857142857,1.5931948946443506e-10,0.006228027445632888,2.9512071768918783e-12,1.5931948946443506e-10,1.107058618411031e-06,5.45763253240118e-13
2021-10-18,39389.857142857145,1.0562534886416956e-10,0.004538689839895097,1.915935881878091e-12,1.0562534886416956e-10,9.851322684574338e-07,3.594824789051253e-13
2021-10-19,39923.857142857145,9.462467487250797e-11,0.004413512055751569,1.6819230198489491e-12,9.462467487250797e-11,8.750478215813728e-07,3.2021690565623513e-13
2021-10-20,40411.857142857145,8.474433391576179e-11,0.004293669941743435,1.475601196678776e-12,8.474433391576179e-11,7.769948948528177e-07,2.8516974616218795e-13
2021-10-21,40314.57142857143,7.590751544114764e-11,0.004180187098584513,1.2945025818959809e-12,7.590751544114764e-11,6.897909725511564e-07,2.5399305601504633e-13
2021-10-22,40011.0,6.666279389355901e-11,0.00398855265814959,1.1138537410127336e-12,6.666279389355901e-11,6.124818280236045e-07,2.218203050700246e-13
2021-10-23,39740.71428571428,7.697872038520381e-11,0.005055832138877404,1.2586121795052982e-12,7.697872038520381e-11,5.443342362580105e-07,2.544970808428164e-13
2021-10-24,38682.142857142855,7.118616391109868e-11,0.005195368304818958,1.1375717325710952e-12,7.118616391109868e-11,4.843503015193367e-07,2.3363070115986957e-13
2021-10-25,37353.71428571428,4.144114046770947e-11,0.003305147046206136,6.494628627679406e-13,4.144114046770947e-11,4.3089630701538505e-07,1.3520122826339265e-13
2021-10-26,36017.42857142857,3.727880048308214e-11,0.0031925939431820833,5.743703083817279e-13,3.727880048308214e-11,3.830005174384e-07,1.2102848739046509e-13
2021-10-27,34954.71428571428,3.3237406882633626e-11,0.003059816245886849,5.031403396015485e-13,3.3237406882633626e-11,3.402232201407612e-07,1.0738635957503096e-13
2021-10-28,34454.0,2.9434731216097555e-11,0.002913873461496686,4.376085537847425e-13,2.9434731216097555e-11,3.021015899422551e-07,9.464142737064499e-14
2021-10-29,34381.0,2.623689003940596e-11,0.0027932334524550964,3.8315268239366804e-13,2.623689003940596e-11,2.682663203682782e-07,8.395630026727935e-14
2021-10-30,34166.142857142855,3.3826177623009746e-11,0.003933540893668792,4.837963881663728e-13,3.3826177623009746e-11,2.3828095291008873e-07,1.0759284787947268e-13
2021-10-31,34090.857142857145,3.152681532381919e-11,0.004074377249568227,4.403814477725016e-13,3.152681532381919e-11,2.1175348553221954e-07,9.956762040982543e-14
2021-11-01,33763.0,2.1565421047443205e-11,0.0030662946089757876,2.946902778073634e-13,2.1565421047443205e-11,1.8807617223646673e-07,6.768175790459531e-14
2021-11-02,33199.0,1.9838732808120075e-11,0.003071223654928678,2.6540819758489746e-13,1.9838732808120075e-11,1.6684325389157796e-07,6.191213553593414e-14
2021-11-03,32180.714285714286,1.7711737488255975e-11,0.0029905431487036184,2.3185057857507743e-13,1.7711737488255975e-11,1.4795109185403964e-07,5.496204372317302e-14
