date,cases_7d,deaths,stringency,workplace_m,inc_filter,deaths_filter,inc_openloop,S,I,R,D,V,beta,Reff
2021-12-27,119531.57142857143,128.0,44.07,0.2276728359359938,112124.45727626457,899.6543240408919,1357.3419568239453,5808090.145341856,445725.0988472634,8113910.974302214,149695.084894059,42306957.0,2.449252639494942,1.7608862569410841
2021-12-28,125386.85714285714,145.0,44.07,0.2485937170366995,116293.45012264358,939.5960439782525,1281.0231188031512,5718228.230404031,465513.8405800276,8156343.984741336,150294.61426765416,42328659.0,2.470556788138722,1.7487216918066248
2021-12-29,137656.7142857143,104.0,44.06,0.3635074748188782,121554.55717545944,984.5993229390742,1206.6939025890758,5636557.670330386,487810.28314384003,8197323.267565594,150873.60415099442,42359253.0,2.5,1.7442885679745255
2021-12-30,145628.7142857143,177.0,44.06,0.3702893576533926,126350.03713442701,1037.7870036224995,1136.1998206817375,5558650.752219512,514161.60897707066,8241089.594579446,151491.9717461717,42389126.0,2.5,1.7201795009561516
2021-12-31,150675.14285714287,149.0,44.06,0.3684978142390424,130832.69498521546,1086.8318540289029,1072.414714814451,5496119.549960994,538460.4093175776,8286825.619335027,152138.1688929667,42401933.0,2.5,1.7008286014141545
2022-01-01,156302.42857142858,164.0,42.1,0.5104965895053615,135452.49469154427,1136.0302371796288,1013.882828621864,5443764.87694761,562835.2759824614,8335067.40214829,152819.7695037529,42403883.0,2.5,1.684626929585622
2022-01-02,163401.14285714287,155.0,42.1,0.8548046982257509,139945.76629312013,1185.5489621705303,956.9831696412899,5389425.984588417,587368.8529370215,8384495.734038485,153518.1346809807,42415035.0,2.5,1.6678112214385283
2022-01-03,168836.85714285713,160.0,42.1,0.2660898153178854,144298.13041767105,1234.432529715726,902.2501882932772,5336980.163642178,611587.7472321363,8435588.210600354,154240.0122982095,42431611.0,2.5,1.6515813429798907
2022-01-04,178020.7142857143,182.0,40.24,0.6261810843477511,149205.94621745154,1287.4510302474603,849.682901993229,5291242.356967893,637855.2543832127,8487917.027863871,154979.3579800727,42453035.0,2.5,1.6374273259410643
2022-01-05,172273.14285714287,196.0,40.24,0.6677483208798998,152699.02087476247,1329.0861143454556,799.8345075613786,5245481.669267161,658482.9571343524,8543906.293593526,155770.42156630184,42474766.0,2.5,1.623266228142102
